account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999478.1794159942,20160105,-0.0005218205840057388,2016-01-05
995899.1391159605,20160106,-0.0035809088920030208,2016-01-06
988194.0340298592,20160107,-0.007736832760936951,2016-01-07
985483.0138798446,20160108,-0.0027434087402441465,2016-01-08
988506.8101598745,20160111,0.003068339319340696,2016-01-11
993725.2615816907,20160112,0.005279125412370522,2016-01-12
974641.8802437831,20160113,-0.019203880665701334,2016-01-13
986348.1644480872,20160114,0.01201085695330062,2016-01-14
965322.4086344005,20160115,-0.021316768836338595,2016-01-15
967092.8721666423,20160119,0.0018340644704875064,2016-01-19
950729.9251993777,20160120,-0.01691972657249108,2016-01-20
955805.5954896384,20160121,0.00533870887591581,2016-01-21
978308.5904299716,20160122,0.02354348525110428,2016-01-22
959879.0043813598,20160125,-0.018838213452170405,2016-01-25
973285.889115806,20160126,0.013967265325369738,2016-01-26
961794.0312629769,20160127,-0.011807278808150579,2016-01-27
970935.9455622508,20160128,0.009505064496261317,2016-01-28
998579.649668914,20160129,0.028471192392259592,2016-01-29
995505.1880269732,20160201,-0.003078834665777741,2016-02-01
971485.0235762406,20160202,-0.02412861805204547,2016-02-02
975362.4800372595,20160203,0.003991267355563766,2016-02-03
978578.2337191672,20160204,0.0032969831705897956,2016-02-04
956497.6471137136,20160205,-0.022563946187045825,2016-02-05
940392.5454475228,20160208,-0.016837575831774254,2016-02-08
942209.9957848644,20160209,0.0019326507277626082,2016-02-09
942974.1577287671,20160210,0.0008110314551121878,2016-02-10
926898.3697079543,20160211,-0.017047962437838904,2016-02-11
952309.9611194187,20160212,0.027415725652286005,2016-02-12
963266.3666030159,20160216,0.011505083356177614,2016-02-16
979726.3981751392,20160217,0.01708772582828777,2016-02-17
965184.7012186402,20160218,-0.01484261012419863,2016-02-18
966210.289369202,20160219,0.0010625822697634124,2016-02-19
980558.0765856848,20160222,0.014849549186492172,2016-02-22
965792.3691074029,20160223,-0.015058473160199037,2016-02-23
971852.4576724631,20160224,0.006274732291228435,2016-02-24
981989.3397039805,20160225,0.010430474246877708,2016-02-25
980886.8678574569,20160226,-0.0011226922757184843,2016-02-26
972611.3557732556,20160229,-0.008436765090226395,2016-02-29
998957.0014555141,20160301,0.027087536584757377,2016-03-01
997855.4691640049,20160302,-0.001102682387634557,2016-03-02
1002603.1496216316,20160303,0.004757883886335135,2016-03-03
1004507.0450974228,20160304,0.0018989522190406838,2016-03-04
1002833.5295034113,20160307,-0.0016660068261136196,2016-03-07
996842.3380814171,20160308,-0.005974263171037886,2016-03-08
1002363.2593487431,20160309,0.005538409692702251,2016-03-09
1001750.563614008,20160310,-0.0006112511896467776,2016-03-10
1017138.8176485578,20160311,0.015361362991435534,2016-03-11
1015806.3464345902,20160314,-0.0013100190365835651,2016-03-14
1018924.414884966,20160315,0.0030695500784376772,2016-03-15
1024458.201058947,20160316,0.0054310075341612585,2016-03-16
1034772.873069535,20160317,0.010068416651773715,2016-03-17
1044679.2071381222,20160318,0.00957343812000122,2016-03-18
1040656.0160541493,20160321,-0.003851125835072744,2016-03-21
1034166.7834450172,20160322,-0.006235713347180094,2016-03-22
1030672.0767085466,20160323,-0.0033792486786599074,2016-03-23
1030181.9598942943,20160324,-0.00047553128228483565,2016-03-24
1034318.4360443631,20160328,0.0040152869212475295,2016-03-28
1041843.5248747465,20160329,0.007275408199395761,2016-03-29
1050721.8246533005,20160330,0.00852172093656911,2016-03-30
1051507.393569537,20160331,0.0007476469012106524,2016-03-31
1066743.1026308,20160401,0.0144893979390317,2016-04-01
1062415.8001538096,20160404,-0.004056555384626792,2016-04-04
1062415.8001538096,20160405,0.0,2016-04-05
1050866.114384745,20160406,-0.010871153993937677,2016-04-06
1031592.1501041878,20160407,-0.018341027478882665,2016-04-07
1034425.0440745977,20160408,0.0027461375797825927,2016-04-08
1032942.4702306441,20160411,-0.001433234677027606,2016-04-11
1041389.895217227,20160412,0.00817802078047647,2016-04-12
1048303.3870351728,20160413,0.0066387160560106295,2016-04-13
1050623.208951702,20160414,0.002212929906761252,2016-04-14
1049514.0201023787,20160415,-0.001055743714656887,2016-04-15
1054542.5506804232,20160418,0.0047912943340708836,2016-04-18
1060539.989315525,20160419,0.005687241952666566,2016-04-19
1062386.090517096,20160420,0.0017407181437472108,2016-04-20
1048002.5565642781,20160421,-0.013538895210701618,2016-04-21
1050573.9344211959,20160422,0.0024535988398231012,2016-04-22
1048420.9045101722,20160425,-0.002049384474982152,2016-04-25
1052807.0546138624,20160426,0.004183577497187896,2016-04-26
