,0
0,1572137.400020008
1,1572213.2970735726
2,1574793.2613725583
3,1575660.931859991
4,1576334.5572652263
5,1574884.634746439
6,1572178.7189832092
7,1575209.0270870416
8,1575622.078323688
9,1581159.6964225085
10,1588519.1579988645
11,1578176.1943729208
12,1579726.6192295575
13,1576710.1771382925
14,1588918.7553435282
15,1577545.359670061
16,1582158.3476639604
17,1610479.8020517665
18,1603868.9609416213
19,1604080.7890368192
20,1609914.9303824874
21,1620926.5485553723
22,1618620.869720768
23,1603554.3591835229
24,1602161.9705321249
25,1602863.402622344
26,1626731.486319386
27,1631307.483126729
28,1623449.8794030875
29,1648153.0753135318
30,1646545.0881655281
31,1660043.4630939718
32,1648135.2126799114
33,1655309.3803477902
34,1665351.0489032743
35,1657513.0788211455
36,1653763.8921296957
37,1641129.1467231575
38,1648184.7616656653
39,1645733.1971427288
40,1638308.178501511
41,1633351.0473498458
42,1621536.5179944646
43,1620326.0392866032
44,1628416.4727995892
45,1616759.9624397263
46,1625912.9075562411
47,1620787.6863714145
48,1628460.3352476982
49,1627373.3513324403
50,1627582.5279626937
51,1620341.4285932204
52,1632176.4885443489
53,1595229.0472040395
54,1594549.3279965024
55,1603341.5775843249
56,1599943.7730143059
57,1605644.7103824702
58,1617954.0851711587
59,1646112.0538202375
60,1545821.5833812302
61,1544275.793934364
62,1544275.793934364
