,0
0,1000000.0
1,1000105.6956892812
2,999989.4986483655
3,997469.4435038406
4,997448.9546627948
5,995148.2210017628
6,990110.2503288586
7,990123.313746388
8,983843.2508607684
9,983214.1918304003
10,984667.1836900678
11,966032.3557514157
12,980219.0181925471
13,980675.9240973622
14,982232.3426042051
15,983650.9126923785
16,990378.141606137
17,1005416.4929000997
18,990884.1642483124
19,985826.4704465566
20,986148.1869482325
21,990371.815097058
22,989682.2534803723
23,1000155.1936706628
24,1013346.2977738993
25,1013436.7765064568
26,985980.9141605835
27,996745.3670558289
28,1001377.736444629
29,995490.3011320333
30,967744.6379001174
31,967263.0877741784
32,968517.0484578223
33,956435.7995921101
34,928528.3305946554
35,960789.5836220061
36,946583.8919866998
37,938085.9562836522
38,928120.8861909233
39,896756.6672863876
40,887544.6467779977
41,899915.7466730161
42,874181.3886146637
43,868737.8096892167
44,858268.3537798375
45,907991.3657630859
46,922730.8832644427
47,956077.2835247417
48,969060.618457734
49,954143.8365080671
50,980144.3124953317
51,1000295.5047243631
52,970911.7221806722
53,960581.184353857
54,1045460.1922876054
55,1028594.9725821635
56,1048179.2695536219
57,1059134.7549630022
58,1035294.970305067
59,993112.4759345319
60,1014093.8381391002
61,1036560.1128345286
62,1059710.6493123712
63,1072126.4139244384
64,1067940.9404505813
65,1057988.9388754135
66,1055771.6498564912
67,1110207.3538612113
68,1124205.9391690632
69,1073167.0269774296
70,1103463.9524075566
71,1111879.2646328139
72,1113728.4785729318
73,1074746.2648784765
74,1096932.74685624
75,1085122.3736645284
76,1098723.830162628
77,1099600.4079765412
78,1096949.6718725949
79,1099442.4796780667
80,1135803.0363941914
81,1138569.4298566987
82,1135304.4499369613
83,1179864.345596895
84,1188004.7697289204
85,1204023.3891294533
86,1191757.1600001731
87,1231432.7698941985
88,1200773.384199069
89,1202634.6001462582
90,1173191.9298978471
91,1190608.7059925064
92,1186173.2078421705
93,1234120.3732553283
94,1222215.100393422
95,1205682.6310046562
96,1196089.8122456549
97,1190222.4847866157
98,1225110.9665257577
99,1204246.5259973265
100,1225112.1348189807
101,1230465.6451570033
102,1244006.7586899542
103,1246618.1500157858
104,1237587.6612652512
105,1257520.0382125932
106,1255330.3507491713
107,1249236.7154389608
108,1249957.668975922
109,1238371.0094858
110,1228248.124435412
111,1230981.8980969586
112,1204554.495082348
113,1200683.954722872
114,1192074.7149881592
115,1215889.715434583
116,1214574.5001022643
117,1180581.5281233212
118,1190052.4385340952
119,1193788.7962207892
120,1212379.0460330083
121,1217966.9688108326
122,1229645.7475484717
123,1215962.7826394846
124,1217995.202441686
125,1185299.597433201
126,1200545.3411067615
127,1187275.158955416
128,1181143.2350520475
129,1193284.198268631
130,1183532.4749333174
131,1219591.0005144472
132,1222813.2701141252
133,1258837.955088304
134,1268700.4627012373
135,1276481.776448422
136,1292488.2187081391
137,1299342.4463596456
138,1301351.4017641598
139,1329200.3053667466
140,1334087.5292184823
141,1334117.1448935186
