,0
0,1226237.2399918013
1,1233450.3657416601
2,1237716.5274335428
3,1236709.9297379681
4,1236018.6239463985
5,1241196.1357075511
6,1246767.8705384333
7,1247287.694659738
8,1246187.4770547273
9,1247275.0316082325
10,1253873.2337559976
11,1257664.7890862618
12,1258381.1826187698
13,1268007.3567805632
14,1266888.2649930164
15,1283076.6340217162
16,1274499.2255982223
17,1277582.4879226107
18,1274435.614649412
19,1269212.2217962781
20,1266735.9589534786
21,1271220.0167686178
22,1274877.6451110113
23,1275058.9728790733
24,1276197.085130799
25,1279401.3741682086
26,1277229.2013331286
27,1266434.8023987988
28,1263889.3977966206
29,1264273.8415575065
30,1266838.8914152766
31,1256612.770504416
32,1264459.091011459
33,1258756.0531855
34,1264515.5979191011
35,1272761.8835543732
36,1270037.5460819225
37,1272271.097958733
38,1272855.682565116
39,1286461.0877896266
40,1286401.8497603983
41,1311659.7520513127
42,1303536.7134000934
43,1309518.1227814213
44,1303200.6421627728
45,1309187.0158383865
46,1319023.5752263982
47,1328250.1974597683
48,1327304.7075905974
49,1338124.0183089992
50,1353082.9629481672
51,1347705.3388513734
52,1355785.0127099333
53,1365779.3945267033
54,1366977.5063575145
55,1371441.4697328182
56,1373282.2059693274
57,1375642.6492877922
58,1379244.6119138685
59,1383670.8519054356
60,1387229.1809769084
61,1381407.2359446208
62,1383543.110636784
