,0
0,1000000.0
1,999908.8646780637
2,999724.8055824994
3,995082.309037809
4,992956.1001247704
5,988916.3463336497
6,981552.2415225899
7,981434.7672712482
8,971026.453177573
9,969804.6599530181
10,972168.5728869871
11,940035.7072868028
12,966054.8657168676
13,963981.7175723405
14,966816.2306430859
15,966841.719374087
16,975041.9382214042
17,1004302.3517889997
18,976738.4369096734
19,962379.9565066032
20,959533.5959580872
21,972530.2287263139
22,971946.2977394292
23,999240.1331782264
24,1026673.1586059848
25,1023892.2650927905
26,972204.8463573529
27,982500.8670259862
28,983640.4140649546
29,974102.150887548
30,928171.5831147993
31,930683.6605271463
32,927526.7302232116
33,911531.622425549
34,881153.2009441357
35,928698.8874072019
36,913747.179512104
37,903482.2251610301
38,892011.5771494026
39,855121.0154692642
40,842530.5592091042
41,860562.7652873297
42,824603.1305008044
43,817880.9602774074
44,808676.0579353414
45,864491.0365517971
46,872225.0159788267
47,906120.4841744477
48,919808.6280315071
49,904695.3142379678
50,937064.1967765617
51,959839.8265073794
52,935652.952360209
53,916678.8813176247
54,996876.8201184463
55,980795.8927489442
56,998918.4832088413
57,1013968.7910366508
58,991929.4767287761
59,951426.0524125964
60,969041.5179121273
61,991703.178992891
62,1019799.885372793
63,1034576.5407208585
64,1024335.5839552514
65,1006998.123956092
66,1010078.7829072224
67,1054901.9647138328
68,1062995.2979702933
69,1016878.9513264205
70,1037446.4645833632
71,1048643.383367256
72,1050960.5721003816
73,1015888.1866762203
74,1035193.4775655025
75,1024706.7517519908
76,1035409.4119493525
77,1034187.7942872932
78,1033756.7451019055
79,1032043.2412814907
80,1065135.4606803115
81,1064597.9885195363
82,1062651.0916155993
83,1096090.4033020767
84,1097876.2064674909
85,1115841.2450170664
86,1094504.4572302995
87,1127769.311065389
88,1103514.3362067728
89,1100832.1920032923
90,1074165.2172552042
91,1086257.5905249445
92,1079318.399391914
93,1124336.675536258
94,1113557.5135331713
95,1106973.0914012243
96,1097067.082005265
97,1095344.788824723
98,1131670.6626992675
99,1112824.6367076861
100,1129485.7223030296
101,1136721.4963229469
102,1157451.66840927
103,1157898.9640256488
104,1154585.9184234058
105,1171989.8270991175
106,1170603.7913379655
107,1169223.6367769937
108,1166848.9667059858
109,1154337.6527157035
110,1146349.4175559112
111,1152669.0463060748
112,1125337.57938241
113,1116199.5563806684
114,1108192.8352047498
115,1127163.3845496464
116,1126541.1620274556
117,1093515.3516891904
118,1095168.7749036066
119,1095125.9591411513
120,1117335.4033919917
121,1120559.633417267
122,1132874.8464253985
123,1121463.4520702118
124,1124309.4712404823
125,1095657.4465854673
126,1109909.744653612
127,1088715.018554652
128,1090149.353023239
129,1094447.6731497622
130,1085985.1314558457
131,1116689.8775128948
132,1121833.1217872347
133,1148648.7806959844
134,1154189.5616025093
135,1159636.468643323
136,1176183.3921089517
137,1187266.222545627
138,1186178.7259422308
139,1198479.654943633
140,1205181.8931304608
141,1203785.0052439028
142,1198121.9953098642
143,1195931.0051798157
144,1207399.7191377205
145,1207371.7205624206
146,1216618.1062295674
147,1222082.1987414637
148,1224659.8344153366
149,1217272.465827916
150,1225707.3547963197
151,1222585.095552137
152,1212624.3481803513
153,1233927.039531725
154,1242246.375569748
155,1228702.9202525837
156,1198697.554729183
157,1213742.046426423
158,1216855.3362973137
159,1228326.189096081
160,1247899.2002943654
161,1244665.806848798
162,1260448.9654367308
163,1263511.080065652
164,1269869.640144905
165,1260858.7811801527
166,1259964.1110490356
167,1234711.3358272
168,1223028.8193052183
169,1235301.5052168628
170,1247057.1780528552
171,1262502.0830716207
172,1268912.7122072314
173,1283692.2654776177
174,1281715.3162586747
175,1290122.6242990966
176,1294662.5687331685
177,1315014.029877751
178,1321336.3799945575
179,1329671.3069711975
180,1323142.8203438895
181,1334027.3705543021
182,1320846.9117752754
183,1314340.6966725283
184,1305265.3159451596
185,1325067.1860171375
186,1335897.7910190509
187,1332402.0993085224
188,1305350.9412790672
189,1307654.156629222
190,1329962.7346083492
191,1343791.6403021105
192,1351180.8855458847
193,1353455.859240288
194,1358564.2633892493
195,1356543.507978658
196,1349688.8198496546
197,1370676.4311682035
198,1371252.732515345
199,1366743.9324894876
200,1381615.1143045167
201,1381911.1104225633
202,1355978.4541909501
203,1373600.8438397015
204,1357289.3193174058
205,1342791.267127393
206,1335272.5035720426
207,1308584.6051230158
208,1342247.841245857
209,1302698.5657112203
210,1315627.3775223752
211,1314398.5075777692
212,1325234.5647372364
213,1354396.1743117608
214,1351326.7422984026
215,1382122.8931924382
216,1378576.2510146464
217,1387326.1597685188
218,1373642.817897457
219,1380089.2141277143
220,1397186.0056479792
221,1394124.9051381303
222,1397644.5936173643
223,1383365.2630603414
224,1382809.8531894858
225,1397215.9246494893
226,1392907.0311424986
227,1395575.5443261578
228,1374560.0183115012
229,1383080.6335662007
230,1390912.4459023143
231,1380293.0925089086
232,1369210.3436952073
233,1372299.0109311608
234,1367280.3723592937
235,1351546.271927658
236,1366587.3378857232
237,1371678.5457114186
238,1374641.3669557122
239,1380548.7652323185
240,1369321.2379741806
241,1372851.9823099338
242,1352409.3705703
243,1355240.121552957
244,1368318.6089663275
245,1373465.6741153582
246,1373457.133551914
247,1380205.3650716366
248,1382757.8748890448
249,1380613.2544904917
250,1381724.8153219519
251,1372894.8785705168
252,1396883.2818462667
253,1405228.0674403352
254,1402491.0153416619
255,1416541.8007082238
256,1411540.7662270362
257,1415016.195708535
258,1402565.2179470067
259,1415710.4361992772
260,1417729.421311704
261,1397693.7998405625
262,1416629.037527418
263,1410344.0753336444
264,1377913.0851181839
265,1345985.2924411853
266,1352835.0389306932
267,1351019.6615285608
268,1360281.480744337
269,1347386.4186374382
