,0
0,1376715.6458802053
1,1363612.8122621477
2,1361116.1631635262
3,1381747.6061050869
4,1368465.2008520667
5,1384843.2740746266
6,1374683.0501098712
7,1387209.772250632
8,1402226.0141977507
9,1406124.0821390117
10,1404684.6586926237
11,1403279.9841143272
12,1403279.9841143272
13,1403279.9841143272
14,1403279.9841143272
15,1403279.9841143272
16,1403279.9841143272
17,1403279.9841143272
18,1403279.9841143272
19,1403279.9841143272
20,1403279.9841143272
21,1403279.9841143272
22,1403279.9841143272
23,1403279.9841143272
24,1403279.9841143272
25,1403279.9841143272
26,1403279.9841143272
27,1403279.9841143272
28,1403279.9841143272
29,1403727.3060720535
30,1403621.052185465
31,1403199.1025947817
32,1404596.4312497305
33,1402819.177059643
34,1402148.9675757522
35,1400548.4550366574
36,1399693.2840814623
37,1390713.8147407337
38,1398613.6041485607
39,1392004.2313724768
40,1400504.9258712097
41,1407650.574320287
42,1407689.2944667647
43,1417941.7615223904
44,1419428.7136343915
45,1423721.4409822961
46,1423777.3586893717
47,1422736.798415689
48,1419600.4810597904
49,1419672.9561570373
50,1420466.5073616751
51,1410636.0907303332
52,1400588.846771378
53,1396531.89595813
54,1384476.349641308
55,1392420.9054654387
56,1378294.0960687988
57,1375233.3095399681
58,1362638.8152871071
59,1365388.4895258506
60,1376509.6860951022
61,1375133.1779232728
62,1375133.1779232728
