,0
0,1000000.0
1,999554.720037418
2,1000015.4199463326
3,995808.1080848423
4,994612.0575259553
5,990341.4984930011
6,986858.6730939462
7,984513.7975917301
8,973476.2120824127
9,975330.0801092363
10,981123.5661930649
11,958663.2693622564
12,978585.5688687789
13,974348.5745723362
14,968936.1547824792
15,978043.1364908954
16,985458.8132844049
17,1008915.8694892143
18,985350.5479843722
19,972717.849479876
20,965039.8705401184
21,985112.8389349965
22,969778.8578902994
23,983210.2248400912
24,1006603.962037725
25,1008235.8864228663
26,963977.9351534069
27,973132.3865426598
28,975218.8515797929
29,961951.8451029131
30,932078.906138878
31,935989.6106507805
32,928744.3159649805
33,920109.7761915042
34,880690.3766687133
35,907350.019285122
36,890609.2513575188
37,878341.7478846626
38,876504.5038046043
39,839184.0917172912
40,834328.9445086822
41,854632.8231821691
42,827010.0419790307
43,825693.4842551076
44,814273.6951350681
45,858507.9138539007
46,863377.5351133537
47,889005.7366599198
48,893822.1855444667
49,890165.4826299079
50,911969.7138928138
51,917577.1527918802
52,907290.2838140213
53,899888.3729306182
54,956903.696676527
55,944652.5021498953
56,951648.8573293695
57,972322.0365707716
58,952698.787696813
59,932753.4820878037
60,945287.8846087373
61,958223.7910705841
62,985644.6820136062
63,988291.9770235956
64,988477.6755964269
65,970982.1176103291
66,981235.5659789331
67,1003133.5980854069
68,1000299.4829018156
69,988017.6396490816
70,999771.9634714155
71,1013881.5855522008
72,1012119.1108470722
73,985798.7570238062
74,995090.3720189334
75,990569.3204086616
76,994972.2090162302
77,1010418.3774071104
78,1005356.5965515764
79,1009261.2851027761
80,1031142.5081104467
81,1034678.6630047992
82,1036447.5376966089
83,1060832.8652023934
84,1062806.9431229634
85,1067507.3470038127
86,1059583.6996994452
87,1073542.2197233764
88,1060428.8200567192
89,1067098.9243944616
90,1046086.3263901632
91,1050168.4889383975
92,1045645.7914163087
93,1075380.70858005
94,1071074.3934700682
95,1063721.7495982351
96,1048185.3528839799
97,1043643.0603790267
98,1069264.6256644565
99,1049817.2852789871
100,1059884.5046367617
101,1074181.2028046427
102,1101116.2607142085
103,1103690.3780768365
104,1098680.2832497677
105,1105746.667990857
106,1111659.807015207
107,1112029.05999676
108,1112517.1645213175
109,1109172.6728578664
110,1102843.197854309
111,1104275.3312889636
112,1083155.555161927
113,1074691.9220596503
114,1077114.7921743991
115,1088289.2689925504
116,1084537.0426530088
117,1061200.6046700068
118,1053681.3466061838
119,1049458.366461834
120,1068344.2304609302
121,1065204.9762031392
122,1072602.3111975626
123,1063962.7407203051
124,1070408.3236491263
125,1048005.5052488082
126,1054328.1638743796
127,1038715.7856423545
128,1042992.5199980675
129,1045395.652494131
130,1041874.0908479611
131,1061455.4947028635
132,1064234.2615141624
133,1095785.972294771
134,1112697.7411869902
135,1117580.699836329
136,1130842.0039911447
137,1134808.582798544
138,1126169.0591795864
139,1147198.9906231957
140,1151890.2229408878
141,1151098.2102593833
142,1151661.3331380205
143,1149997.3213569531
144,1158906.1091259366
145,1155480.3432741277
146,1165656.7546052905
147,1163321.8467511754
148,1156209.4828835272
149,1159382.202597372
150,1173372.226813203
151,1168959.9609273744
152,1163858.8941323706
153,1172533.413190715
154,1177896.788366575
155,1167473.171410739
156,1153889.6959787009
157,1157602.1050969579
158,1165582.1687805958
159,1173854.668669014
160,1188026.2497095878
161,1186672.8835943448
162,1190706.4001537557
163,1191168.5411537047
164,1201262.2398419306
165,1196019.9598438593
166,1189829.7413084859
167,1173177.2116776155
168,1178090.8728870896
169,1181282.6937675222
170,1190542.5369043446
171,1194043.5335259296
172,1202859.381654127
173,1211866.596498728
174,1215459.4964698292
175,1218041.0484897378
176,1221340.3379701402
177,1236146.8462201096
178,1238133.2473284702
179,1238786.9819878007
180,1232602.3480202344
181,1234296.2053482893
182,1223844.075513902
183,1219020.0373896982
184,1213607.0143589664
185,1224022.9222413637
186,1226913.6165480851
187,1226465.7225983883
188,1208735.115003629
189,1209579.1064355352
190,1217395.5827454664
191,1229602.1205811526
192,1237220.2570790602
193,1242937.707012172
194,1254767.0288841098
195,1257484.7938629743
196,1252671.64687776
197,1263576.8305513235
198,1267109.6691814607
199,1255122.182690031
200,1264565.5984631819
201,1254983.8831972475
202,1242825.3055819622
203,1258342.332772271
204,1238510.1298333283
205,1228978.920677652
206,1229209.4980851046
207,1219370.9625178247
208,1240520.046032471
209,1216562.8477349961
210,1227170.59823811
211,1223971.2601762265
212,1232545.8451819208
213,1256748.378911852
214,1256276.298747439
215,1282157.319394856
216,1286888.7590319677
217,1291768.5049650427
218,1284177.5538985082
219,1294974.9735398414
220,1307992.6930442879
221,1312294.0592882428
222,1307233.5426328992
223,1302399.4120976927
224,1301086.1965672765
225,1316710.7238297989
226,1315754.3129571108
227,1318330.207783666
228,1302761.4789938526
229,1305630.599918353
230,1321693.170492435
231,1316204.0775945038
232,1303549.5120224867
233,1310973.5570538018
234,1316181.8476346273
235,1308871.328017768
236,1321865.2824856462
237,1335938.1653147165
238,1344417.1517712036
239,1347168.7591748743
240,1345202.3163702074
241,1341753.7255428073
242,1321948.338497303
243,1322066.750043082
244,1331343.2246080993
245,1337927.919479646
246,1337994.9347539837
247,1343321.8485829756
248,1346737.72963861
249,1349033.7343305442
250,1349692.839570868
251,1333852.854960072
252,1347933.4989587546
253,1339849.001434972
254,1344510.7388150594
255,1349675.833549609
256,1348146.200632269
257,1349233.355512247
258,1351808.5457324625
259,1357575.9392586038
260,1363611.538421507
261,1352170.2933888482
262,1368942.958103156
263,1354599.1223622032
264,1329066.0765548751
265,1304272.8442479656
266,1306538.4389365865
267,1302325.7474098753
268,1317931.9692127344
269,1304540.435685768
270,1296741.5129740243
271,1306798.348189009
272,1319059.0952574196
273,1315179.8322812177
274,1281899.2453335477
275,1280237.2448309069
276,1268090.320711877
277,1288143.879967108
278,1285586.07489862
279,1298515.7404846905
280,1292047.1406766821
281,1310636.5364138053
282,1318634.9131681323
283,1329930.3648848343
284,1327784.4037166976
285,1325919.6206394793
286,1314076.6647498882
287,1325575.1483208057
288,1313807.909936373
289,1312144.573111706
290,1322333.4782061148
291,1321876.0187415867
292,1323067.7256850563
293,1328185.6399278985
294,1344461.6837112824
295,1336672.4475189198
296,1335670.8782705055
297,1338615.2317439497
298,1341899.7474802819
299,1341330.4047250154
300,1344486.8482382072
301,1350269.540942747
302,1351341.688808062
303,1361035.8620677914
304,1356831.9392409292
305,1360709.3087180143
306,1371784.9742614955
307,1361710.4252978454
308,1367504.7209625777
309,1366329.4499303806
310,1372345.9467316258
311,1379020.2806870115
312,1373691.1723663483
313,1381827.081719347
314,1382456.7091678942
315,1380578.7304612983
316,1370747.8957935558
317,1369926.1483364091
318,1379128.8215611447
319,1378142.471474432
320,1382006.3739022624
321,1390409.9174352943
