,0
0,1000000.0
1,999907.1228341777
2,997652.5322879246
3,993494.7368344126
4,991153.510487901
5,991400.8149256445
6,993266.3400609591
7,986208.8561744943
8,993940.1012276312
9,984235.9967452917
10,985236.7842424184
11,972122.8676936389
12,978085.7181194122
13,983559.2247983083
14,976160.8959177119
15,990476.9565059142
16,977138.5559102349
17,983350.4241547098
18,1001563.8159872516
19,1003184.2512597927
20,986237.3122853145
21,995965.823181428
22,1003860.9704607376
23,994610.4286505448
24,991387.4222351315
25,984986.715332686
26,977480.9136550479
27,961989.6153997954
28,978062.3349885837
29,988476.7105243633
30,1005478.9016135155
31,1008232.2978370162
32,1008168.8739730872
33,1021105.1514664028
34,1013585.4362253128
35,1015160.8589898931
36,1025358.7095525266
37,1017774.5878319883
38,1009461.4782010693
39,1027130.114108045
40,1030888.677086903
41,1031572.4020250598
42,1034389.592266982
43,1047796.0559502317
44,1043172.8540410431
45,1049201.3845266844
46,1048815.4912349153
47,1058812.7418839668
48,1062956.0355549327
49,1065412.9313412732
50,1071590.2410258066
51,1081987.7003707758
52,1088479.3599004173
53,1091750.6765430092
54,1090013.9947733614
55,1081607.3946295055
56,1085866.3760791505
57,1087450.7422874202
58,1091477.7081865515
59,1091692.6646707428
60,1093969.401984291
61,1100622.5572733001
62,1099105.1044957992
