,0
0,1000000.0
1,999909.3104224484
2,1000497.2969857594
3,995856.6410472761
4,995500.8066415379
5,990122.6364765819
6,985723.0218313353
7,986647.765214301
8,973558.2069179654
9,976303.7578410305
10,982112.675483997
11,954660.1475087737
12,987851.6191693441
13,977617.6550325346
14,975067.8199871858
15,979169.7539526892
16,987013.3937617441
17,1010955.8708307026
18,979132.1375886089
19,970580.712265908
20,964628.2174434984
21,977812.0300946194
22,971987.9773420771
23,989051.2791115454
24,1016404.8447566463
25,1012374.1060682267
26,966216.3930899892
27,970423.7926270176
28,968319.6773641688
29,958306.7954115588
30,914428.9654161554
31,918830.4056079013
32,906189.429808951
33,892565.3749561794
34,860424.5009407144
35,891393.6845164972
36,880582.285182143
37,876092.7254738908
38,867436.2398134526
39,830521.7527585704
40,826666.79259656
41,842759.7358576114
42,802847.7354514414
43,808955.6026693446
44,806847.2115669351
45,853318.8565398509
46,849671.518172713
47,876615.116879397
48,878895.345543452
49,876096.6663486356
50,903694.0791001242
51,914591.8060957385
52,904953.3669861128
53,881812.0973277678
54,951307.9646467202
55,936729.8479767228
56,948838.6123896447
57,967686.2050037388
58,941671.7140389731
59,914427.0441651314
60,925327.7298549265
61,940567.177970598
62,967666.4884652474
63,977034.8626516836
64,969676.3355857511
65,946934.094114408
66,956155.1560710301
67,991607.7927885205
68,978926.112351218
69,960892.9498627749
70,971980.7237550779
71,979862.563188991
72,978056.2001216799
73,945385.4221479505
74,966274.8942363281
75,957539.7419255712
76,968276.5161666907
77,982325.0728968293
78,974388.8835247979
79,983883.8704261404
80,1008721.0899057674
81,992914.9340056373
82,1003517.9062524777
83,1025359.2962659408
84,1017420.9829940563
85,1032080.6808294156
86,1018625.569803963
87,1048434.6150811734
88,1024544.5269733013
89,1032522.5892866482
90,1011482.7946613277
91,1015035.5028560795
92,1003776.2105129779
93,1033067.3042454397
94,1028904.1900517903
95,1013888.405551773
96,1000390.68890205
97,997055.3612153144
98,1024260.5473073279
99,1001537.494821633
100,1020280.5128704514
101,1028795.9614387663
102,1060993.876195024
103,1060726.7789700706
104,1049395.8327760466
105,1065423.7499891503
106,1067737.2503701267
107,1074138.6459853062
108,1078162.342259849
109,1080211.7553652723
110,1081126.939627317
111,1080196.1218710123
112,1062453.3407349312
113,1049165.4519557818
114,1042802.8483888254
115,1046493.9644962838
116,1044718.1207689203
117,1011667.9791005127
118,1007843.8406129137
119,998784.5403978737
120,1019291.2354683485
121,1010206.6286145146
122,1023137.2310701035
123,1012276.9792874693
124,1016335.0095420128
125,985233.1864781737
126,985994.2256486675
127,966181.5791968174
128,967610.2190990347
129,970926.6095774001
130,958399.3533885498
131,980598.5950213904
132,984359.6715723055
133,1021438.6696783465
134,1032555.6871583908
135,1044461.3902192824
136,1053965.144284417
137,1066358.9702677077
138,1056866.3503713983
