,0
0,1000000.0
1,999912.1658689583
2,999860.3605736201
3,997870.4947775066
4,998195.3415108257
5,996303.2857668308
6,993550.4581215124
7,993647.7123304567
8,989163.5511187208
9,989046.1160358628
10,989877.4300854167
11,981549.0471396951
12,988884.6003480558
13,986960.891578876
14,986248.4953900411
15,985926.7491900756
16,988866.0821573662
17,994135.9392566087
18,989383.0053092092
19,986398.9811691402
20,984878.2713987615
21,988783.480602892
22,985671.9914844129
23,991203.2452457944
24,997549.3995605342
25,996644.3298227309
26,980690.210143942
27,983259.4190365728
28,984186.2407513612
29,980114.3442126971
30,965704.2346318569
31,967588.3363320243
32,966653.3242589938
33,961845.9076420767
34,950660.8528565255
35,967532.4799012565
36,961089.6822901387
37,955581.550003447
38,949703.3097788603
39,934596.2740534755
40,929722.4538120657
41,938933.2163476669
42,922944.1236793348
43,923262.9917011978
44,916335.0309976613
45,944810.8612874774
46,946714.3900343981
47,966403.825892534
48,973167.4685717381
49,966328.1627675092
50,983526.0776004565
51,996686.3366159666
52,984518.4697863478
53,974198.6982386746
54,1015591.0529691522
55,1005764.4062941321
56,1014768.455910139
57,1023320.6471421071
58,1010993.7084842792
59,988833.6889809404
60,999900.4153083528
61,1013087.5181650671
62,1030228.5059977772
63,1041214.6206895097
64,1034936.8844421675
65,1022666.2999752586
66,1025113.8400074298
67,1048676.989450769
68,1054028.0488238148
69,1027450.4160461195
70,1041099.7379410504
71,1046429.5733069289
72,1049660.3716594987
73,1023161.3801943755
74,1037686.3769668599
75,1031641.0522897998
76,1039394.587196503
77,1045498.435300106
78,1041291.1446708203
79,1043701.8219976886
80,1059192.1752275191
81,1062425.7804935607
82,1061521.9702574757
83,1081550.0846308703
84,1078507.058122411
85,1081563.243491196
86,1073875.3153384565
87,1096533.3477601777
88,1082882.1356915315
89,1082922.3775617834
90,1063337.645248935
91,1071616.0379858995
92,1065652.0883043895
93,1093108.6842338096
94,1087325.16308964
95,1082359.1931470144
96,1073528.939576261
97,1074927.332547077
98,1094330.9730628051
99,1077968.5948867085
100,1087373.190862888
101,1096421.6078088603
102,1113747.8229015116
103,1118760.8113682803
104,1113889.298306813
105,1123098.037506761
106,1122750.12973569
