,0
0,580.0397225541528
1,2907.1471304083243
2,3536.1071993759833
3,-8454.349831659114
4,7841.500655755401
5,5465.526399557246
6,630.8571821486112
7,5031.868939631851
8,2703.276017290307
9,-9492.507521717343
10,-1088.0166476005688
11,-4071.340274310438
12,18851.259632588364
13,2068.7690672196914
14,8496.29674681509
15,-3565.566655674251
16,-9804.07408732432
17,8796.779847802361
18,-7112.865860419348
19,-1325.756231756648
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-847.4133757094387
35,2363.407936468255
36,5273.155437757494
37,-239.52089958265424
38,2578.0618175936397
39,-7395.196209487505
40,-1139.626941635972
41,0.0
42,-101.59169483394362
43,-255.4684757827781
44,-2523.738951793406
45,-1597.822023756802
46,6802.030684306519
47,-936.3958214272279
48,0.0
49,0.0
50,0.0
51,1534.6700487395283
52,-171.67645058431663
53,1695.1731102119666
54,1549.5588105549105
55,-4743.435297915712
56,-4031.0148422860075
57,-5467.994080035482
58,40.75095179467462
59,-1105.3301373419818
60,0.0
61,0.0
