,0
0,1382250.084316241
1,1381626.5805608898
2,1382487.4514744594
3,1382305.4992289871
4,1381684.7849415801
5,1381570.673071624
6,1381570.673071624
7,1381570.673071624
8,1381570.673071624
9,1381570.673071624
10,1381570.673071624
11,1381570.673071624
12,1381570.673071624
13,1381570.673071624
14,1381570.673071624
15,1381570.673071624
16,1381570.673071624
17,1381570.673071624
18,1381570.673071624
19,1381570.673071624
20,1381570.673071624
21,1381570.673071624
22,1381570.673071624
23,1381570.673071624
24,1381570.673071624
25,1381570.673071624
26,1381570.673071624
27,1381570.673071624
28,1381570.673071624
29,1381570.673071624
30,1381570.673071624
31,1381570.673071624
32,1381570.673071624
33,1377048.8491168234
34,1369612.3610745699
35,1369404.0314696678
36,1369404.0314696678
37,1368143.092616009
38,1368064.8741450645
39,1368064.8741450645
40,1368064.8741450645
41,1368064.8741450645
42,1368064.8741450645
43,1368064.8741450645
44,1368064.8741450645
45,1368064.8741450645
46,1368064.8741450645
47,1368064.8741450645
48,1368064.8741450645
49,1368064.8741450645
50,1368064.8741450645
51,1368064.8741450645
52,1368064.8741450645
53,1368064.8741450645
54,1368064.8741450645
55,1368064.8741450645
56,1368064.8741450645
57,1368064.8741450645
58,1368064.8741450645
59,1368064.8741450645
60,1368064.8741450645
61,1368064.8741450645
62,1368064.8741450645
