,0
0,1000000.0
1,999002.1458839958
2,994600.4880662118
3,985829.1283292572
4,981972.8086067839
5,983085.2242561684
6,986560.5737522438
7,970107.9862987653
8,976727.2519780054
9,962666.8119901164
10,966096.5330744716
11,954643.3792375934
12,959384.0692120185
13,975954.3677427092
14,959064.0364518944
15,976283.5751242063
16,954157.8951199712
17,961766.2091898659
18,986792.9118000316
19,988724.999604301
20,972199.7497962483
21,983634.9164579904
22,990917.5422443431
23,976757.3231813273
24,952728.254983525
25,956883.798136212
26,952959.9906339342
27,926022.4229414234
28,945078.1850697801
29,965600.7676444317
30,984501.5843317102
31,975559.2803324944
32,972591.5537666621
33,988906.8135038626
34,979487.5827407083
35,981166.453319542
36,994136.3934096871
37,998665.433555933
38,992360.8151542562
39,1015720.6724511859
40,1012196.3934757267
41,1016928.7762340467
42,1023003.739062096
43,1021225.519493373
44,1011818.0335517855
45,1010796.496376667
46,1011891.2567888271
47,1031027.7515009332
48,1032652.2305273374
49,1033538.2782893936
50,1039079.9414415876
51,1050890.283865317
52,1063884.1423837983
53,1064945.6064340158
54,1061288.6956628829
55,1055565.284915698
56,1053115.9640374358
57,1054692.3363831914
58,1060308.7850448482
59,1065498.4219064445
60,1061338.9539499336
61,1072017.2138622869
62,1067390.9931428712
