,0
0,1000000.0
1,999675.8328322085
2,999448.383803782
3,998047.5405354999
4,996759.1185232326
5,995130.5638225572
6,993029.256735552
7,993223.4784539721
8,988106.3469745864
9,988946.2786741704
10,989715.4817309431
11,980547.4135173933
12,983906.9034323719
13,982978.5910167368
14,983469.1483198829
15,985122.2019074352
16,988997.256363855
17,999667.355539921
18,990909.8117492606
19,985067.4753639264
20,986514.3719075138
21,1000643.4499002169
22,988193.5761137849
23,998969.2560485604
24,1011173.0443438804
25,1009192.29566471
26,982850.8224839007
27,989034.8479046561
28,993184.1333677473
29,979372.9417487532
30,967715.684990595
31,974380.3470684183
32,975273.8687027891
33,968090.0273678111
34,937120.634573505
35,954998.9238935164
36,938784.8128622593
37,910897.8146486192
38,901558.1269641889
39,868509.3640180007
40,864822.2974508654
41,883933.1978198319
42,859523.1720731462
43,859961.5692495452
44,834760.243048131
45,876330.7751126946
46,872415.2627522057
47,904997.564921544
48,923775.0491163097
49,913917.7249320376
50,939941.6043419068
51,950227.0089069607
52,935763.6723970713
53,934064.6518851239
54,983580.87413838
55,965921.4378109418
56,969632.1234665551
57,985671.3567852018
58,974610.6865228828
59,957241.70241328
60,966755.9060765816
61,982649.47059321
62,1003555.5308816253
63,999445.9925788605
64,1001729.0371705458
65,989633.0954583712
66,994591.2709866889
67,1004930.3151604777
68,1008151.9568168754
69,997318.7891366539
70,1005757.3812564501
71,1011180.3522189795
72,1007727.0065841017
73,987541.6813460634
74,986276.4315157571
75,974274.3763549926
76,976607.6998573436
77,982735.7025532043
78,979303.143965409
79,982856.6801903474
80,996893.7193451648
81,1002410.1629343486
82,1004076.9898660969
83,1021952.8529900432
84,1025002.2284806694
85,1022927.4101559303
86,1023548.8604229548
87,1033513.36674393
88,1021220.1960121571
89,1028913.132003985
90,1017157.5567256714
91,1019610.464319011
92,1010090.5509547036
93,1032246.9426228344
94,1026977.6252975587
95,1026802.7722365248
96,1013125.8082986283
97,1008707.141361853
98,1032342.6231290681
99,1020980.8249635707
100,1026068.9452841162
101,1034399.0627398599
102,1056028.2326437363
103,1059396.2266946686
104,1060311.6522434845
105,1055811.8476256714
106,1055548.1198920151
107,1050014.5728189903
108,1048323.5854750389
109,1043305.0775737948
110,1039180.4731483379
111,1045081.5881753757
112,1022494.4289683448
113,1017778.0302705936
114,1022935.4057810658
115,1038159.2957363827
116,1037559.9877690361
117,1019627.5439020487
118,1017810.1746304936
119,1024563.9531253126
120,1038444.1319135049
121,1035220.8398497967
122,1046557.2057717298
123,1037577.0389663085
124,1042064.0789066876
125,1015705.3737203596
126,1025253.6308915134
127,1015010.0220211828
128,1019782.7972246794
129,1012182.3018134496
130,1006330.9433148275
131,1022652.3200518646
132,1025653.6262413624
133,1044865.1683753612
134,1048665.0907971517
135,1048370.335139322
136,1056827.6468206763
137,1074005.1294495957
138,1072475.1403420873
139,1090862.813358484
140,1095837.755523543
141,1093512.7991912367
142,1097691.7120304222
143,1102125.4675430327
144,1111716.934383351
145,1108465.6241827162
146,1110980.413344668
147,1111342.4662639783
148,1098285.9190018536
149,1092840.022764214
150,1102329.007346016
151,1106997.430058285
152,1102905.5717438944
153,1117154.4096568876
154,1125928.7532231875
155,1120284.715169467
156,1104622.574275635
157,1108204.1943260867
158,1116997.0327652819
159,1121377.1809745834
160,1137093.2194017377
161,1141564.624470623
162,1147213.2699426785
163,1144448.461769174
164,1143899.6102561378
165,1136801.0561247247
166,1133966.883040666
167,1118485.21555418
168,1114220.0006408838
169,1119894.0017992742
170,1130971.6129922306
171,1133946.4347318138
172,1138642.3856660333
173,1146277.6480010808
174,1144101.7254426791
175,1143832.9797023449
176,1142579.8235945439
177,1151430.5467203083
178,1151507.4918614458
179,1150608.1795102698
180,1150877.298410428
181,1152595.1610021694
182,1144372.425325653
183,1140460.8925193362
184,1131575.6180706955
185,1145521.256859471
186,1150578.4160587082
187,1151876.280290607
188,1136680.4424075503
189,1135814.6394237021
190,1139126.5576118897
191,1152468.7366473204
192,1154091.0520795535
193,1159203.9122480836
194,1164116.3235898104
195,1165202.9559207296
196,1157164.9079374163
197,1165602.4798717126
198,1177873.1007167972
199,1176642.5605152298
200,1191298.4075345346
201,1193832.9336894779
202,1180534.6008603391
203,1187729.112883701
204,1185669.766621583
205,1178342.8760978288
206,1180315.9692333099
207,1167964.9781406696
208,1182836.7951334182
209,1160883.51822247
210,1171721.2461316502
211,1165810.7723449802
212,1185989.1091580102
213,1203321.0855972844
214,1204724.0293882666
215,1226732.341223264
216,1228130.2837373908
217,1230567.5709933504
218,1224524.9241288682
219,1230562.8527662926
220,1241419.4027483754
221,1245357.4963115396
222,1248898.113321874
223,1244886.199664478
224,1245730.5468241612
225,1258601.6311232282
226,1262898.1834983407
227,1267374.8101257035
228,1253949.6752638817
229,1251930.4722144653
230,1267151.005722308
231,1260944.477718701
232,1254522.0644603714
233,1254234.6843874846
234,1258469.7464348243
235,1249167.4229295345
236,1254784.1743921833
237,1269797.2343894274
238,1272411.9016073705
239,1275614.5882901847
240,1272045.8260816538
241,1271463.4142376748
242,1257431.6592119865
243,1259551.4936474464
244,1268017.7944458898
245,1273397.656203846
246,1272993.7108873394
247,1276147.9263292903
248,1280354.4299717948
249,1278740.6937368128
250,1277546.1177405012
251,1262260.8756613727
252,1278223.598501155
253,1274512.9348066032
254,1269775.8196887246
255,1272464.2921687486
256,1273124.1478528215
257,1282380.1763223258
258,1276852.6083518302
259,1289272.4693361828
260,1291812.7635799607
261,1278074.8993080298
262,1298573.897835591
263,1289588.7724004488
264,1264254.47749431
265,1244389.4194606834
266,1251086.3297430195
267,1250094.3189337023
268,1251616.2189080557
269,1237550.9384868531
270,1232875.1371135553
271,1240431.6803454172
272,1254307.314225305
273,1243665.4062665198
274,1210065.9327476206
275,1211802.7970447072
276,1202331.3500428612
277,1216930.435640959
278,1213355.6947958043
279,1225724.164767223
280,1220153.4866517906
281,1235337.1642958594
282,1242233.1871458222
283,1245806.2212613754
284,1242319.5483259219
285,1243268.0122591872
286,1232932.8019965661
287,1245455.625292018
288,1244781.2271612885
289,1245994.7126958524
290,1253949.054230291
291,1252884.5224752931
292,1253012.7748607013
293,1251390.0448337314
294,1262108.5143962724
295,1261469.9650013885
296,1262238.5645855991
297,1258892.509964053
298,1262548.852068295
299,1263793.0320589663
300,1271372.6648951059
301,1277546.965820469
302,1280639.2103044377
303,1290898.7643611198
304,1286865.8787597802
305,1291179.7977718336
306,1303608.2866998797
307,1291435.9055315503
308,1293388.7456837601
309,1293596.9687307456
310,1303106.0345770326
311,1307263.8633790237
312,1300677.9457295765
313,1310611.6091913055
314,1312652.8681504827
315,1310274.074561799
316,1298359.0947938256
317,1298174.4263104016
318,1302082.1259854927
319,1302769.137892257
320,1302614.8060027661
321,1299865.1867072843
322,1295982.878720177
323,1288321.6329697052
324,1297953.2735633901
325,1298875.0026152711
326,1294954.0336038438
327,1294327.848618802
328,1304509.443439818
