,0
0,1357261.240371468
1,1350413.5456253216
2,1351303.8185693468
3,1360810.2096544437
4,1357621.1952396436
5,1363611.6881362866
6,1362053.7852899618
7,1369474.9454604906
8,1377363.5271666436
9,1379568.6225883123
10,1370243.7503516166
11,1369085.8070621318
12,1369085.8070621318
13,1369085.8070621318
14,1369085.8070621318
15,1369085.8070621318
16,1369085.8070621318
17,1369085.8070621318
18,1369085.8070621318
19,1369085.8070621318
20,1369085.8070621318
21,1369085.8070621318
22,1369085.8070621318
23,1369085.8070621318
24,1369085.8070621318
25,1369085.8070621318
26,1369085.8070621318
27,1369085.8070621318
28,1369085.8070621318
29,1369686.350523315
30,1369498.5081677085
31,1369269.4034724892
32,1371347.9413662753
33,1368481.8822007966
34,1369177.8393574457
35,1367663.4869465188
36,1365843.0471722935
37,1357836.0541718465
38,1364859.8717176612
39,1358856.1224318964
40,1364430.5322264608
41,1370695.909102237
42,1370258.5948705073
43,1380606.3378893354
44,1386642.414996582
45,1387504.0958982322
46,1387288.6833269773
47,1388973.1819974417
48,1384433.700396103
49,1385632.8314204742
50,1379230.9087930964
51,1372958.9240201965
52,1357222.1159487679
53,1358062.3275907582
54,1346450.63192876
55,1353070.4755507056
56,1334002.87823017
57,1335592.3704928008
58,1328503.9503303103
59,1331516.4679677805
60,1332438.1026746598
61,1331105.6658249972
62,1331105.6658249972
